doi_url,title,author,journal_name,publication_year,primary_sources,secondary_sources,geographic_location,language,dialect,data_deposited,data_deposit_doi_url,data_repository_format,funding_source
https://doi.org/10.1017/S0142716423000243,The impact of dialect differences on spoken language comprehension,Arynn S. Byrd;Yi Ting Huang;Jan Edwards,Applied Psycholinguistics,2023,dataset,n/a,america,english,african american english;mainstream american english ,other,https://osf.io/w7jhs,OSF,"Institute of Education Sciences;
National Science Foundation  "
https://doi.org/10.3390/languages6010040,"Language, or Dialect, That Is the Question. How Attitudes Affect Language Statistics Using the Example of Low German",Astrid Adler,Languages,2021,survey,interview;scholarly article,germany,german,low german,upon request,https://www.diw.de/en/diw_01.c.601584.en/data_access.html,website,n/a
https://doi.org/10.3390/languages10090242,When Pitch Falls Short: Reinforcing Prosodic Boundaries to Signal Focus in Japanese,Marta Ortega-Llebaria;Jun Nagao,Languages,2025,study,scholarly article,america;japan,japanese,kobayashi;koriyama;tokyo;osaka;northern kanto;etc.,in si,https://www.mdpi.com/article/10.3390/languages10090242/s1,PDF,Hewlett International Grant;University of Pittsburgh
https://doi.org/10.3390/languages10090225,Russian–Belarusian Border Dialects and Their “Language Roof”: Dedialectization and Trajectories of Changes,Anastasiia Ryko,Languages,2025,study;interview,scholarly article,estonia,russian;belarusian,mogilev–smolensk;khislavichy;trasianka;east slavic,other,https://lingconlab.ru/khislavichi/#!/,website,n/a
https://doi.org/10.3390/languages10080188,Language Contact and Population Contact as Sources of Dialect Similarity,Jonathan Dunn;Sidney Wong,Languages,2025,study,study;scholarly article,america;new zealand,english,n/a,repository,https://doi.org/10.17605/OSF.IO/GD2KQ,OSF,n/a
https://doi.org/10.3390/languages10060141,Unraveling the Overall Picture of Japanese Dialect Variation: What Factors Shape the Big Picture?,Wilbert Heeringa;Fumio Inoue,Languages,2025,dataset,study;scholarly article,japan,japanese,hokkaido;tokyo;okinawa,other,https://www.lajdb.org/lajdb_data/LAJDB_data_withCord_download002_v20180328_rev.html,website,n/a
https://doi.org/10.3390/languages10060127,Chinese “Dialects” and European “Languages”: A Comparison of Lexico-Phonetic and Syntactic Distances,Chaoju Tang;Vincent J. van Heuven;Wilbert Heeringa;Charlotte Gooskens,Languages,2025,dataset,scholarly article,china;netherlands;hungary,chinese;danish;dutch;english;german;swedish;french;italian;portuguese;romanian;spanish;bulgarian;croatian;czech;polish;slovak;slovene,"mandarin: beijing;jinan;xi’an;taiyuan;chengdu/wuhan: canotnese: suzhou;wenzhou;nanchang;meixian;xiamen;fuzhou;chaozhou;changsha;guangzhou/cantonese;portuguese–italian;portuguese–romanian;dutch–german
austronesian;indo-germanic;uto-aztecan;bantu",repository,https://osf.io/znhyd/?view_only=85abb174a8704b31a8079bd12b9eaaf1,OSF,n/a
https://doi.org/10.3390/languages10050095,Two-Verb Clusters in Mennonite Low German: The Impact of Auxiliary Verb and Clause Type,Göz Kaufmann,Languages,2025,dataset,scholarly article,germany,mennonite low german (plautdietsch),low prussian;east low german,other,https://agd.ids-mannheim.de/MEND_extern.shtml,website,n/a
https://doi.org/10.3390/languages10030049,Water and Sheep: The Pronunciation and Geographical Distribution of Two Germanic Vowels in the Dialects Around the Former Zuiderzee Area,Floris Nijhuis;John L. A. Huisman;Roeland van Hout,Languages,2025,dataset,scholarly article,netherlands,dutch,hollandish–brabantish;frisian;low german,repository,https://osf.io/yajb6/?view_only=d93cd0d4a6254e03aaf2f90f98e0b8f6,OSF,n/a
https://doi.org/10.3390/languages10020017,Dialect Classification and Everyday Culture: A Case Study from Austria,Philip C. Vergeiner,Languages,2025,survey;dataset,scholarly article,austria,german,alemmanic;bavarian alemmanic;central bavarian;south bavarian;south-central bavarian,repository,https://osf.io/whtse/?view_only=13676ea27fcc484c8c0fac785ae0ea8d,OSF,Austrian Science Fund
https://doi.org/10.3390/languages10010013,Understanding Dialectal Variation in Contact Scenarios Through Dialectometry: Insights from Inner Asia Minor Greek,Stavros Bompolas;Dimitra Melissaropoulou,Languages,2025,dataset,scholarly article,greece,greek,cappadocian;pharasiot;silliot,in paper and si,https://www.mdpi.com/article/10.3390/languages10010013/s1,ZIP,University of Patras;Hellenic Foundation for Research and Innovation
https://doi.org/10.3390/languages10010005,"Non-Conditioned, Unconscious Intra-Individual Variatio",Gotzon Aurrekoetxea,Languages,2025,dataset,scholarly article,basque,basque,n/a,repository,https://www.euskaltzaindia.eus/component/ehha/?Itemid=466&layout=sarrera&view=frontpage,website,n/a
https://doi.org/10.3390/languages9120378,Exploring Tonal Variation Using Dialect Tonometry,Ho Wang Matthew Sung;Jelena Prokić,Languages,2024,dataset,scholarly article,china,yue,n/a,repository,https://osf.io/m9g2a/,OSF,n/a
https://doi.org/10.3390/languages9120359,The Application of Geospatial Analysis Methods for the Reconstruction of Lithuanian–Slavic Ethnolinguistic Boundaries in Southeastern Lithuania,Aidas Gudaitis,Languages,2024,dataset,scholarly article,lithuania,polish-belarussian;lithuanian;yiddish;russian,n/a,upon request,n/a,n/a,n/a
https://doi.org/10.1007/s10579-024-09764-6,Sentiment analysis dataset in Moroccan dialect: bridging the gap between Arabic and Latin scripted dialect,Mouad Jbel;Mourad Jabrane;Imad Hafidi;Abdulmutallib Metrane,Language Resources and Evaluation,2024,dataset;study,scholarly article,morocco,arabic,moroccan,repository,https://github.com/MouadJb/MYC,github,n/a
https://doi.org/10.1007/s10579-024-09749-5,The Najdi Arabic Corpus: a new corpus for an underrepresented Arabic dialect,Rukayah Alhedayani,Language Resources and Evaluation,2024,dataset;study,scholarly article,morocco;egypt;palestine;lebanon;syria;jordan,arabic,moroccan;egyptian;african;levantine;curras;leuvan;gulf najdi;hijazi,other,https://childes.talk.org/access/Other/Arabic/Salama.html,website,n/a
"https://doi.org/10.1007/s10579-025-09823-6
",Multi-task learning for multi-dialect Arabic sentiment classification and sarcasm detection,Mohammed Elsadiq Barmati;Bachir Said;Abdelghani Dahou,Language Resources and Evaluation,2025,experiment,scholarly article,egypt;palestine;lebanon;syria;jordan,arabic,egyptian;levantine;gulf (kuwaiti;bahraini;qatari;emirati);modern standard arabic;maghrebi,repository,"https://github.com/aub-mind/hULMonA/blob/master/data/ArSenTD-LEV.tsv,
https://github.com/aub-mind/hULMonA/blob/master/data/ASTD.csv,
https://github.com/iabufarha/ArSarcasm,
https://github.com/UBC-NLP/nadi",github,n/a
https://doi.org/10.1007/s10579-024-09750-y,Annotation and evaluation of a dialectal Arabic sentiment corpus against benchmark datasets using transformers,Ibtissam Touahri;Azzeddine Mazroui,Language Resources and Evaluation,2024,dataset,scholarly article,various,arabic,modern standard arabic;moroccan;mixed arabic,upon request,n/a,n/a,n/a
 https://doi.org/10.1007/s10579-020-09522-4,Representing variation in a spoken corpus of an endangered dialect: the case of Torlak,Teodora Vuković,Language Resources and Evaluation,2021,dataset;experiment,scholarly article,serbia,serbian,torlak,in paper,n/a,n/a,University of Zurich ERA-Net Rus Plus;Ministry of Education;Science and Technological Development;Republic of Serbia
